Percentage served,Time in ms
0,228.749
1,617.406
2,1021.925
3,1445.747
4,1765.255
5,1827.777
6,1848.317
7,1858.663
8,1866.705
9,1874.169
10,1879.333
11,1884.598
12,1888.644
13,1893.152
14,1896.461
15,1899.540
16,1902.362
17,1905.340
18,1907.790
19,1910.693
20,1912.994
21,1915.313
22,1917.546
23,1919.803
24,1921.902
25,1923.763
26,1925.595
27,1927.346
28,1929.222
29,1931.025
30,1932.714
31,1934.707
32,1936.187
33,1937.799
34,1939.099
35,1940.475
36,1942.079
37,1943.620
38,1944.996
39,1946.330
40,1948.132
41,1949.464
42,1950.803
43,1951.959
44,1953.233
45,1954.732
46,1956.024
47,1957.409
48,1958.623
49,1959.998
50,1961.310
51,1962.416
52,1963.857
53,1965.089
54,1966.492
55,1967.811
56,1968.950
57,1970.303
58,1971.809
59,1973.198
60,1974.590
61,1975.905
62,1977.292
63,1978.929
64,1980.333
65,1981.893
66,1983.491
67,1984.781
68,1986.197
69,1987.729
70,1989.220
71,1990.944
72,1992.488
73,1994.412
74,1996.258
75,1998.550
76,2000.606
77,2002.969
78,2005.429
79,2007.763
80,2010.389
81,2012.954
82,2016.069
83,2019.099
84,2022.588
85,2026.007
86,2030.309
87,2034.788
88,2039.996
89,2045.949
90,2053.506
91,2062.033
92,2074.677
93,2088.322
94,2106.244
95,2126.567
96,2159.214
97,2186.611
98,2227.575
99,2285.948
