Percentage served,Time in ms
0,129.995
1,684.404
2,1054.370
3,1408.952
4,1776.980
5,1819.810
6,1834.541
7,1843.054
8,1851.661
9,1857.004
10,1862.581
11,1867.521
12,1872.096
13,1876.251
14,1879.594
15,1882.625
16,1885.794
17,1888.959
18,1892.436
19,1894.927
20,1898.064
21,1901.177
22,1903.916
23,1906.228
24,1908.537
25,1910.978
26,1912.894
27,1914.726
28,1916.374
29,1918.595
30,1920.407
31,1922.812
32,1924.547
33,1926.538
34,1928.029
35,1929.524
36,1931.173
37,1932.529
38,1934.259
39,1935.900
40,1937.757
41,1939.461
42,1941.034
43,1942.526
44,1943.992
45,1945.542
46,1946.778
47,1948.123
48,1949.760
49,1951.235
50,1952.442
51,1953.817
52,1955.175
53,1956.786
54,1958.260
55,1959.679
56,1961.158
57,1962.609
58,1964.019
59,1965.453
60,1966.849
61,1968.604
62,1969.651
63,1971.295
64,1972.883
65,1974.285
66,1975.861
67,1977.299
68,1978.859
69,1980.560
70,1982.042
71,1983.714
72,1985.261
73,1987.092
74,1988.938
75,1991.123
76,1993.250
77,1995.853
78,1997.724
79,2000.170
80,2002.792
81,2005.991
82,2008.923
83,2012.102
84,2015.634
85,2019.112
86,2023.092
87,2028.266
88,2032.733
89,2038.970
90,2046.101
91,2054.458
92,2062.914
93,2076.228
94,2089.684
95,2111.986
96,2137.308
97,2174.890
98,2220.737
99,2280.523
