Percentage served,Time in ms
0,321.647
1,1043.565
2,1944.553
3,2399.828
4,2448.966
5,2474.736
6,2489.789
7,2499.549
8,2507.969
9,2514.525
10,2519.760
11,2523.800
12,2527.909
13,2531.612
14,2535.225
15,2538.473
16,2541.472
17,2544.027
18,2546.674
19,2549.234
20,2551.660
21,2554.258
22,2556.377
23,2558.592
24,2560.769
25,2562.813
26,2564.769
27,2566.560
28,2568.672
29,2570.249
30,2572.000
31,2573.775
32,2575.600
33,2577.273
34,2578.897
35,2580.694
36,2582.132
37,2583.784
38,2585.255
39,2586.925
40,2588.522
41,2590.028
42,2591.601
43,2593.058
44,2594.570
45,2596.032
46,2597.542
47,2599.037
48,2600.519
49,2602.164
50,2603.694
51,2605.080
52,2606.632
53,2608.070
54,2609.670
55,2611.470
56,2612.966
57,2614.604
58,2616.186
59,2617.791
60,2619.177
61,2620.711
62,2622.302
63,2623.798
64,2625.458
65,2626.928
66,2628.500
67,2629.991
68,2631.883
69,2633.600
70,2635.677
71,2637.503
72,2639.485
73,2641.459
74,2643.779
75,2645.586
76,2647.756
77,2650.036
78,2652.377
79,2654.631
80,2656.888
81,2659.133
82,2662.032
83,2664.770
84,2667.837
85,2670.824
86,2674.516
87,2678.844
88,2683.155
89,2688.200
90,2693.700
91,2699.965
92,2707.819
93,2716.816
94,2730.268
95,2746.333
96,2772.956
97,2829.316
98,3449.356
99,4382.614
