Percentage served,Time in ms
0,37.896
1,72.271
2,112.029
3,134.729
4,163.162
5,181.389
6,201.489
7,229.424
8,249.721
9,261.561
10,274.312
11,280.794
12,290.517
13,299.950
14,306.527
15,314.074
16,319.269
17,323.755
18,329.650
19,334.104
20,338.755
21,344.066
22,347.566
23,352.985
24,356.175
25,360.133
26,362.575
27,365.277
28,367.098
29,370.182
30,371.931
31,374.104
32,375.936
33,378.037
34,380.771
35,383.488
36,386.927
37,389.607
38,391.925
39,394.308
40,396.068
41,397.987
42,400.602
43,402.276
44,404.577
45,406.142
46,408.179
47,410.136
48,411.864
49,412.784
50,415.110
51,417.147
52,419.163
53,421.210
54,422.288
55,424.463
56,426.564
57,428.175
58,430.274
59,432.945
60,434.852
61,436.220
62,437.608
63,439.682
64,441.888
65,443.635
66,445.240
67,447.587
68,450.075
69,452.693
70,455.683
71,458.477
72,461.186
73,465.079
74,467.228
75,469.476
76,472.115
77,474.139
78,476.555
79,478.862
80,483.194
81,486.056
82,490.673
83,494.408
84,498.118
85,500.670
86,503.938
87,507.491
88,512.493
89,516.290
90,520.212
91,525.491
92,531.371
93,539.139
94,546.225
95,556.688
96,565.013
97,577.460
98,601.666
99,624.420
