Percentage served,Time in ms
0,19.018
1,37.560
2,46.551
3,54.439
4,64.527
5,70.604
6,79.799
7,87.739
8,102.583
9,118.330
10,130.408
11,151.840
12,166.662
13,193.104
14,209.513
15,236.983
16,247.905
17,263.615
18,271.695
19,284.802
20,292.528
21,300.753
22,308.439
23,315.887
24,323.514
25,334.046
26,341.049
27,348.679
28,353.733
29,357.663
30,364.574
31,367.944
32,373.181
33,375.901
34,381.877
35,384.951
36,388.007
37,391.136
38,394.707
39,397.246
40,400.489
41,405.107
42,408.944
43,411.653
44,413.904
45,416.371
46,418.980
47,421.248
48,423.038
49,425.848
50,428.994
51,431.178
52,433.398
53,435.889
54,438.936
55,441.178
56,444.331
57,447.237
58,449.951
59,452.199
60,454.528
61,458.216
62,460.097
63,462.852
64,466.619
65,469.724
66,471.642
67,474.545
68,476.164
69,477.936
70,480.766
71,483.732
72,486.798
73,488.990
74,492.456
75,495.251
76,498.169
77,501.932
78,505.680
79,509.261
80,511.298
81,514.370
82,519.257
83,522.297
84,525.235
85,530.252
86,535.360
87,538.391
88,543.651
89,547.909
90,552.142
91,558.900
92,564.754
93,575.661
94,581.627
95,589.959
96,597.336
97,606.666
98,621.015
99,656.060
