Percentage served,Time in ms
0,805.911
1,848.085
2,881.786
3,908.927
4,916.716
5,925.177
6,933.644
7,944.050
8,952.189
9,959.018
10,967.890
11,975.408
12,983.999
13,989.559
14,993.963
15,999.107
16,1005.027
17,1008.527
18,1012.459
19,1019.126
20,1025.895
21,1031.369
22,1037.019
23,1042.504
24,1046.331
25,1049.793
26,1054.097
27,1058.941
28,1063.498
29,1068.952
30,1074.080
31,1079.854
32,1087.461
33,1093.819
34,1099.778
35,1103.437
36,1106.276
37,1109.032
38,1111.937
39,1115.366
40,1119.512
41,1124.171
42,1133.462
43,1138.693
44,1142.555
45,1146.884
46,1151.450
47,1156.299
48,1160.254
49,1163.994
50,1167.633
51,1171.055
52,1174.555
53,1177.356
54,1180.368
55,1182.764
56,1185.265
57,1187.675
58,1190.148
59,1193.206
60,1196.462
61,1202.300
62,1209.240
63,1213.585
64,1217.354
65,1220.687
66,1224.857
67,1229.424
68,1234.313
69,1238.379
70,1244.375
71,1254.545
72,1259.977
73,1270.747
74,1279.844
75,1285.762
76,1293.410
77,1300.090
78,1304.609
79,1309.418
80,1313.938
81,1318.611
82,1327.592
83,1336.383
84,1347.321
85,1354.022
86,1359.780
87,1365.495
88,1371.829
89,1375.445
90,1380.214
91,1387.547
92,1392.004
93,1395.795
94,1402.360
95,1407.730
96,1417.054
97,1423.207
98,1430.405
99,1441.072
