Percentage served,Time in ms
0,949.513
1,984.996
2,1008.226
3,1023.079
4,1036.746
5,1051.764
6,1065.350
7,1080.702
8,1097.145
9,1117.138
10,1133.890
11,1143.733
12,1150.678
13,1154.301
14,1158.417
15,1164.087
16,1171.725
17,1177.181
18,1181.030
19,1186.870
20,1191.870
21,1198.856
22,1203.384
23,1209.804
24,1215.205
25,1222.689
26,1228.016
27,1232.100
28,1236.617
29,1241.581
30,1248.481
31,1252.817
32,1256.019
33,1259.892
34,1264.056
35,1266.935
36,1269.239
37,1272.152
38,1274.252
39,1276.613
40,1278.493
41,1280.421
42,1282.144
43,1283.930
44,1285.719
45,1287.975
46,1290.470
47,1292.840
48,1295.233
49,1297.966
50,1301.762
51,1306.014
52,1308.811
53,1310.861
54,1312.914
55,1314.543
56,1316.264
57,1320.278
58,1328.432
59,1337.421
60,1344.915
61,1351.016
62,1355.368
63,1360.198
64,1367.942
65,1377.803
66,1385.063
67,1389.966
68,1395.830
69,1405.097
70,1413.662
71,1426.375
72,1433.662
73,1437.799
74,1442.977
75,1447.671
76,1451.918
77,1458.424
78,1461.878
79,1464.426
80,1467.229
81,1470.814
82,1473.672
83,1475.744
84,1478.813
85,1481.355
86,1483.891
87,1486.192
88,1489.472
89,1494.153
90,1499.198
91,1502.443
92,1510.365
93,1516.386
94,1526.158
95,1539.071
96,1572.392
97,1602.670
98,1787.186
99,2002.062
