Percentage served,Time in ms
0,100.804
1,119.701
2,136.240
3,146.361
4,156.556
5,164.927
6,174.475
7,182.582
8,189.539
9,195.157
10,201.362
11,205.097
12,208.915
13,214.412
14,217.776
15,220.590
16,221.627
17,222.786
18,223.551
19,224.278
20,224.773
21,225.134
22,225.369
23,225.592
24,225.796
25,225.971
26,226.200
27,226.391
28,226.558
29,226.747
30,226.944
31,227.181
32,227.362
33,227.614
34,227.909
35,228.124
36,228.291
37,228.466
38,228.575
39,228.674
40,228.804
41,228.895
42,228.988
43,229.097
44,229.195
45,229.283
46,229.384
47,229.478
48,229.567
49,229.686
50,229.745
51,229.845
52,229.940
53,230.074
54,230.186
55,230.312
56,230.428
57,230.531
58,230.729
59,230.837
60,230.989
61,231.211
62,231.431
63,231.646
64,231.889
65,232.073
66,232.290
67,232.465
68,232.657
69,232.856
70,232.998
71,233.124
72,233.343
73,233.534
74,233.761
75,234.022
76,234.374
77,234.627
78,234.952
79,235.560
80,236.251
81,236.899
82,237.769
83,238.689
84,240.024
85,241.324
86,242.697
87,244.410
88,245.683
89,246.921
90,248.580
91,250.897
92,252.671
93,254.654
94,258.189
95,262.970
96,267.096
97,275.324
98,297.024
99,341.342
