Percentage served,Time in ms
0,55.734
1,100.870
2,148.823
3,197.288
4,224.015
5,226.081
6,226.990
7,227.609
8,228.022
9,228.423
10,228.832
11,229.060
12,229.371
13,229.534
14,229.844
15,230.030
16,230.211
17,230.363
18,230.578
19,230.719
20,230.885
21,231.031
22,231.179
23,231.373
24,231.519
25,231.675
26,231.813
27,231.959
28,232.078
29,232.166
30,232.276
31,232.357
32,232.472
33,232.609
34,232.735
35,232.811
36,232.899
37,233.026
38,233.105
39,233.219
40,233.408
41,233.546
42,233.627
43,233.760
44,233.907
45,234.021
46,234.157
47,234.265
48,234.391
49,234.460
50,234.591
51,234.677
52,234.806
53,234.967
54,235.062
55,235.194
56,235.329
57,235.471
58,235.608
59,235.747
60,235.904
61,236.041
62,236.267
63,236.421
64,236.561
65,236.735
66,236.850
67,237.001
68,237.176
69,237.302
70,237.504
71,237.715
72,237.918
73,238.087
74,238.247
75,238.408
76,238.578
77,238.714
78,238.829
79,239.070
80,239.209
81,239.341
82,239.583
83,239.851
84,240.081
85,240.348
86,240.605
87,240.881
88,241.195
89,241.482
90,241.768
91,242.210
92,242.547
93,242.843
94,243.138
95,243.615
96,243.934
97,244.749
98,245.988
99,251.182
