Percentage served,Time in ms
0,246.215
1,588.807
2,676.110
3,740.396
4,769.297
5,806.847
6,892.030
7,947.499
8,1008.411
9,1108.461
10,1140.842
11,1141.993
12,1142.609
13,1143.096
14,1143.489
15,1143.760
16,1144.055
17,1144.277
18,1144.544
19,1144.760
20,1144.973
21,1145.199
22,1145.387
23,1145.590
24,1145.776
25,1145.968
26,1146.131
27,1146.276
28,1146.408
29,1146.552
30,1146.688
31,1146.824
32,1146.938
33,1147.067
34,1147.185
35,1147.297
36,1147.398
37,1147.517
38,1147.634
39,1147.729
40,1147.840
41,1147.956
42,1148.089
43,1148.206
44,1148.368
45,1148.506
46,1148.694
47,1148.848
48,1148.981
49,1149.108
50,1149.306
51,1149.453
52,1149.622
53,1149.767
54,1149.927
55,1150.107
56,1150.261
57,1150.457
58,1150.611
59,1150.766
60,1150.927
61,1151.074
62,1151.194
63,1151.401
64,1151.569
65,1151.777
66,1151.948
67,1152.185
68,1152.416
69,1152.702
70,1153.047
71,1153.404
72,1153.714
73,1154.110
74,1154.573
75,1155.088
76,1155.589
77,1156.078
78,1156.455
79,1156.887
80,1157.423
81,1157.947
82,1158.581
83,1159.430
84,1160.197
85,1161.024
86,1161.850
87,1162.879
88,1164.151
89,1165.148
90,1165.832
91,1166.684
92,1167.908
93,1168.989
94,1170.126
95,1171.654
96,1174.114
97,1368.581
98,1462.811
99,1640.467
