Percentage served,Time in ms
0,49.864
1,104.979
2,129.867
3,137.947
4,151.684
5,158.528
6,164.544
7,179.635
8,197.557
9,211.200
10,222.781
11,223.932
12,224.493
13,224.877
14,225.157
15,225.453
16,225.682
17,225.940
18,226.147
19,226.343
20,226.513
21,226.673
22,226.789
23,226.934
24,227.044
25,227.168
26,227.313
27,227.446
28,227.575
29,227.711
30,227.797
31,227.931
32,228.051
33,228.155
34,228.255
35,228.376
36,228.446
37,228.544
38,228.621
39,228.729
40,228.803
41,228.924
42,229.046
43,229.165
44,229.262
45,229.347
46,229.493
47,229.570
48,229.640
49,229.724
50,229.807
51,229.884
52,230.022
53,230.140
54,230.260
55,230.344
56,230.435
57,230.566
58,230.685
59,230.810
60,230.959
61,231.104
62,231.280
63,231.390
64,231.492
65,231.621
66,231.766
67,231.880
68,231.991
69,232.172
70,232.290
71,232.418
72,232.561
73,232.670
74,232.828
75,233.006
76,233.183
77,233.358
78,233.520
79,233.651
80,233.878
81,234.046
82,234.264
83,234.501
84,234.782
85,235.191
86,235.504
87,236.008
88,236.572
89,237.268
90,238.185
91,239.606
92,244.469
93,262.306
94,280.340
95,297.923
96,314.065
97,332.144
98,334.270
99,336.226
