Percentage served,Time in ms
0,345.561
1,493.885
2,688.951
3,807.445
4,904.615
5,947.923
6,987.638
7,1064.164
8,1133.466
9,1138.336
10,1139.419
11,1140.025
12,1140.467
13,1140.829
14,1141.097
15,1141.351
16,1141.562
17,1141.789
18,1142.034
19,1142.246
20,1142.430
21,1142.590
22,1142.799
23,1142.953
24,1143.124
25,1143.252
26,1143.438
27,1143.573
28,1143.709
29,1143.826
30,1143.938
31,1144.057
32,1144.177
33,1144.304
34,1144.437
35,1144.550
36,1144.657
37,1144.777
38,1144.907
39,1145.038
40,1145.159
41,1145.261
42,1145.391
43,1145.517
44,1145.662
45,1145.784
46,1145.916
47,1146.066
48,1146.227
49,1146.371
50,1146.555
51,1146.683
52,1146.845
53,1147.024
54,1147.169
55,1147.330
56,1147.495
57,1147.638
58,1147.807
59,1147.934
60,1148.124
61,1148.271
62,1148.499
63,1148.657
64,1148.847
65,1149.049
66,1149.296
67,1149.528
68,1149.771
69,1150.042
70,1150.309
71,1150.592
72,1150.854
73,1151.155
74,1151.526
75,1151.876
76,1152.265
77,1152.660
78,1153.004
79,1153.314
80,1153.592
81,1153.856
82,1154.159
83,1154.446
84,1154.757
85,1155.096
86,1155.459
87,1155.766
88,1156.083
89,1156.411
90,1156.746
91,1157.048
92,1157.366
93,1157.782
94,1158.221
95,1158.737
96,1159.199
97,1159.754
98,1160.477
99,1161.414
