Percentage served,Time in ms
0,966.466
1,1005.843
2,1018.563
3,1027.557
4,1032.325
5,1037.090
6,1042.061
7,1046.678
8,1051.584
9,1056.293
10,1061.225
11,1065.766
12,1071.927
13,1077.129
14,1082.698
15,1087.437
16,1091.882
17,1095.914
18,1099.300
19,1104.249
20,1108.335
21,1111.792
22,1116.966
23,1122.152
24,1125.926
25,1129.049
26,1133.817
27,1138.289
28,1142.169
29,1144.879
30,1147.207
31,1149.826
32,1152.583
33,1154.689
34,1157.606
35,1160.461
36,1163.622
37,1166.730
38,1171.183
39,1177.499
40,1183.215
41,1187.180
42,1191.104
43,1193.986
44,1198.572
45,1205.202
46,1209.751
47,1213.869
48,1217.608
49,1222.829
50,1227.173
51,1232.464
52,1237.197
53,1240.733
54,1243.879
55,1247.182
56,1251.952
57,1256.886
58,1259.896
59,1263.242
60,1265.928
61,1268.749
62,1272.298
63,1277.310
64,1283.290
65,1287.904
66,1292.089
67,1298.393
68,1303.452
69,1311.047
70,1321.199
71,1326.018
72,1332.358
73,1336.685
74,1342.463
75,1346.898
76,1350.918
77,1358.116
78,1365.217
79,1373.081
80,1396.471
81,1426.781
82,1445.192
83,1457.547
84,1471.456
85,1483.045
86,1489.452
87,1498.386
88,1509.330
89,1521.837
90,1531.591
91,1544.891
92,1555.071
93,1595.102
94,1633.049
95,1676.433
96,1704.789
97,1826.493
98,2038.290
99,2207.471
