Percentage served,Time in ms
0,804.442
1,1026.866
2,1111.297
3,1169.091
4,1253.281
5,1316.322
6,1371.859
7,1405.364
8,1436.410
9,1459.767
10,1482.043
11,1513.516
12,1537.435
13,1558.829
14,1581.207
15,1595.749
16,1608.701
17,1622.688
18,1635.866
19,1649.800
20,1673.441
21,1692.916
22,1696.945
23,1703.576
24,1716.089
25,1730.953
26,1741.867
27,1747.278
28,1753.974
29,1761.778
30,1769.559
31,1777.046
32,1783.632
33,1797.524
34,1808.290
35,1820.480
36,1831.771
37,1849.363
38,1862.992
39,1875.574
40,1896.051
41,1915.159
42,1927.366
43,1934.589
44,1943.849
45,1953.538
46,1959.166
47,1962.894
48,1967.102
49,1971.011
50,1974.262
51,1977.498
52,1981.856
53,1986.604
54,1993.290
55,1999.668
56,2004.691
57,2008.493
58,2013.680
59,2018.882
60,2023.435
61,2027.266
62,2033.514
63,2038.715
64,2043.938
65,2047.215
66,2051.193
67,2056.514
68,2060.661
69,2064.736
70,2068.281
71,2072.432
72,2077.778
73,2083.528
74,2089.025
75,2098.307
76,2106.747
77,2115.799
78,2133.239
79,2141.263
80,2163.231
81,2242.700
82,2367.726
83,2498.575
84,2528.606
85,2565.555
86,2594.259
87,2622.393
88,2669.521
89,2695.410
90,2726.807
91,2745.289
92,2762.717
93,2811.366
94,2889.698
95,2958.685
96,3003.829
97,3039.740
98,3079.201
99,4356.882
