Percentage served,Time in ms
0,920.621
1,969.322
2,984.998
3,1003.784
4,1020.414
5,1032.963
6,1047.832
7,1056.360
8,1064.990
9,1071.980
10,1079.061
11,1086.147
12,1094.311
13,1101.536
14,1110.233
15,1117.701
16,1124.630
17,1130.467
18,1138.072
19,1142.337
20,1148.159
21,1155.853
22,1162.007
23,1165.958
24,1169.810
25,1174.272
26,1178.542
27,1182.360
28,1185.755
29,1191.851
30,1199.109
31,1204.951
32,1210.978
33,1213.642
34,1217.073
35,1222.599
36,1228.377
37,1236.212
38,1243.549
39,1250.860
40,1254.655
41,1260.751
42,1266.652
43,1272.470
44,1278.608
45,1285.800
46,1291.710
47,1295.664
48,1299.422
49,1302.478
50,1307.131
51,1313.760
52,1318.411
53,1323.003
54,1326.081
55,1329.474
56,1332.991
57,1336.114
58,1340.095
59,1343.451
60,1346.435
61,1349.350
62,1353.056
63,1356.307
64,1359.814
65,1363.223
66,1369.013
67,1373.992
68,1377.853
69,1382.479
70,1385.711
71,1388.595
72,1392.364
73,1397.138
74,1402.650
75,1411.338
76,1419.592
77,1427.051
78,1434.185
79,1439.171
80,1443.320
81,1448.672
82,1454.395
83,1458.707
84,1462.509
85,1466.653
86,1473.420
87,1481.603
88,1488.404
89,1493.839
90,1499.496
91,1509.685
92,1521.265
93,1543.382
94,1584.747
95,1647.090
96,1680.109
97,1732.074
98,1749.729
99,1762.697
