Percentage served,Time in ms
0,748.712
1,751.250
2,751.839
3,752.526
4,752.865
5,753.216
6,753.502
7,753.703
8,753.982
9,754.220
10,754.401
11,754.621
12,754.821
13,755.029
14,755.332
15,755.497
16,755.645
17,755.835
18,756.095
19,756.284
20,756.453
21,756.672
22,756.839
23,757.038
24,757.218
25,757.403
26,757.643
27,757.838
28,757.978
29,758.178
30,758.436
31,758.647
32,758.817
33,758.976
34,759.088
35,759.267
36,759.450
37,759.719
38,759.950
39,760.115
40,760.299
41,760.493
42,760.755
43,760.960
44,761.180
45,761.337
46,761.516
47,761.763
48,761.954
49,762.221
50,762.398
51,762.796
52,763.035
53,763.248
54,763.435
55,763.652
56,763.944
57,764.175
58,764.353
59,764.582
60,764.827
61,765.131
62,765.312
63,765.549
64,765.823
65,766.142
66,766.354
67,766.565
68,766.787
69,766.950
70,767.204
71,767.481
72,767.951
73,768.180
74,768.602
75,768.921
76,769.216
77,769.545
78,769.837
79,770.172
80,770.554
81,770.965
82,771.437
83,772.149
84,772.687
85,773.470
86,774.260
87,774.891
88,775.852
89,776.875
90,777.950
91,779.387
92,780.718
93,782.679
94,785.342
95,789.846
96,799.769
97,823.588
98,872.374
99,903.433
