Percentage served,Time in ms
0,1163.441
1,1766.514
2,1840.578
3,1908.493
4,1933.742
5,1949.992
6,1965.044
7,1975.288
8,1982.932
9,1990.694
10,1999.490
11,2009.994
12,2019.026
13,2028.251
14,2036.379
15,2041.647
16,2046.224
17,2051.627
18,2059.205
19,2065.086
20,2071.655
21,2079.373
22,2086.977
23,2094.658
24,2101.560
25,2107.082
26,2111.765
27,2116.594
28,2120.984
29,2125.751
30,2130.015
31,2134.420
32,2139.095
33,2143.550
34,2148.839
35,2151.725
36,2154.786
37,2158.159
38,2161.563
39,2164.065
40,2166.696
41,2169.655
42,2172.414
43,2176.036
44,2180.279
45,2184.217
46,2188.451
47,2193.141
48,2198.844
49,2205.073
50,2210.778
51,2217.159
52,2223.707
53,2229.284
54,2234.532
55,2241.649
56,2251.388
57,2262.360
58,2269.369
59,2276.084
60,2283.001
61,2288.873
62,2295.367
63,2304.540
64,2312.326
65,2317.256
66,2323.810
67,2331.515
68,2341.667
69,2351.988
70,2359.494
71,2365.692
72,2375.553
73,2386.244
74,2394.935
75,2404.727
76,2420.008
77,2438.095
78,2448.141
79,2456.750
80,2465.403
81,2478.285
82,2490.419
83,2500.362
84,2515.585
85,2527.546
86,2539.284
87,2554.506
88,2572.518
89,2590.446
90,2608.980
91,2629.750
92,2642.394
93,2652.965
94,2665.726
95,2692.934
96,2758.281
97,2817.591
98,2870.294
99,3066.685
