Percentage served,Time in ms
0,232.188
1,1001.194
2,1856.026
3,2392.929
4,2437.796
5,2456.789
6,2468.647
7,2477.379
8,2483.918
9,2489.682
10,2495.236
11,2499.556
12,2503.898
13,2508.014
14,2511.619
15,2514.614
16,2517.486
17,2520.326
18,2522.864
19,2525.481
20,2528.011
21,2530.424
22,2532.425
23,2534.571
24,2536.661
25,2538.685
26,2540.708
27,2542.732
28,2544.696
29,2546.509
30,2548.316
31,2550.206
32,2551.867
33,2553.679
34,2555.324
35,2556.987
36,2558.728
37,2560.370
38,2562.114
39,2563.691
40,2565.389
41,2566.948
42,2568.333
43,2569.751
44,2571.323
45,2572.635
46,2574.274
47,2575.703
48,2577.254
49,2578.800
50,2580.161
51,2581.495
52,2583.000
53,2584.256
54,2585.850
55,2587.510
56,2589.128
57,2590.662
58,2592.053
59,2593.551
60,2595.092
61,2596.553
62,2598.213
63,2599.838
64,2601.327
65,2602.864
66,2604.332
67,2606.002
68,2607.718
69,2609.443
70,2611.074
71,2612.783
72,2614.569
73,2616.321
74,2618.273
75,2620.449
76,2622.743
77,2624.864
78,2626.980
79,2629.337
80,2631.678
81,2634.264
82,2636.845
83,2639.654
84,2643.206
85,2646.745
86,2650.399
87,2654.564
88,2659.251
89,2664.561
90,2670.920
91,2678.810
92,2688.865
93,2703.371
94,2724.155
95,2753.419
96,2801.451
97,2990.936
98,3586.027
99,5538.006
