Percentage served,Time in ms
0,287.801
1,618.273
2,966.835
3,1407.015
4,1776.455
5,1836.098
6,1852.222
7,1863.819
8,1872.556
9,1877.679
10,1883.842
11,1888.289
12,1892.730
13,1895.885
14,1899.519
15,1902.308
16,1905.337
17,1908.189
18,1910.712
19,1912.813
20,1915.100
21,1917.263
22,1919.558
23,1921.698
24,1923.810
25,1925.429
26,1927.450
27,1929.097
28,1930.842
29,1932.766
30,1934.404
31,1935.889
32,1937.547
33,1939.148
34,1940.653
35,1942.354
36,1943.623
37,1944.923
38,1946.301
39,1947.792
40,1949.242
41,1950.780
42,1952.230
43,1953.516
44,1954.779
45,1956.199
46,1957.546
47,1958.873
48,1960.057
49,1961.182
50,1962.551
51,1963.947
52,1965.255
53,1966.323
54,1967.626
55,1969.073
56,1970.415
57,1971.810
58,1973.232
59,1974.633
60,1976.023
61,1977.616
62,1979.270
63,1980.496
64,1982.113
65,1983.624
66,1985.174
67,1986.460
68,1988.042
69,1989.743
70,1991.586
71,1993.671
72,1995.591
73,1997.513
74,1999.583
75,2001.596
76,2004.026
77,2006.303
78,2008.405
79,2010.856
80,2013.140
81,2015.513
82,2018.599
83,2021.130
84,2024.911
85,2028.005
86,2032.638
87,2036.733
88,2041.350
89,2049.045
90,2056.323
91,2064.668
92,2073.820
93,2085.825
94,2100.537
95,2117.244
96,2139.024
97,2167.268
98,2215.461
99,2298.638
