Percentage served,Time in ms
0,13.353
1,48.558
2,69.867
3,90.324
4,105.880
5,126.757
6,146.742
7,168.243
8,182.040
9,203.896
10,227.889
11,244.122
12,260.096
13,271.223
14,283.134
15,290.986
16,302.043
17,307.250
18,313.265
19,323.173
20,329.911
21,333.470
22,339.918
23,345.164
24,352.088
25,355.917
26,359.789
27,364.126
28,369.081
29,371.022
30,373.008
31,375.066
32,377.273
33,379.145
34,382.891
35,385.211
36,386.811
37,388.460
38,390.488
39,393.036
40,395.925
41,398.220
42,399.988
43,402.066
44,403.315
45,405.641
46,408.192
47,410.201
48,411.640
49,414.751
50,416.408
51,418.314
52,421.067
53,422.648
54,425.224
55,426.512
56,429.165
57,430.942
58,432.369
59,434.460
60,436.203
61,437.770
62,439.303
63,441.940
64,445.302
65,447.303
66,448.897
67,452.719
68,454.518
69,456.592
70,461.530
71,463.393
72,465.849
73,467.722
74,470.009
75,473.252
76,476.055
77,479.126
78,482.803
79,486.436
80,490.397
81,492.952
82,497.278
83,499.860
84,502.932
85,506.252
86,510.277
87,515.399
88,519.543
89,525.008
90,530.821
91,534.584
92,542.690
93,549.947
94,557.118
95,565.981
96,578.043
97,597.277
98,627.826
99,682.309
