Percentage served,Time in ms
0,13.836
1,46.887
2,59.991
3,69.419
4,84.119
5,103.433
6,131.175
7,144.670
8,165.848
9,181.992
10,195.195
11,210.491
12,223.740
13,232.829
14,244.140
15,254.996
16,266.760
17,279.036
18,290.273
19,300.634
20,307.984
21,316.064
22,323.917
23,332.934
24,337.289
25,343.570
26,350.033
27,353.969
28,358.098
29,361.411
30,367.515
31,371.923
32,376.635
33,379.323
34,381.946
35,384.971
36,386.885
37,390.009
38,392.507
39,394.810
40,398.149
41,401.024
42,404.918
43,407.120
44,408.845
45,411.095
46,413.515
47,416.032
48,418.563
49,420.890
50,423.378
51,426.515
52,428.553
53,430.952
54,433.262
55,435.497
56,437.726
57,440.471
58,442.846
59,444.868
60,448.237
61,450.307
62,452.622
63,454.879
64,457.122
65,459.453
66,461.781
67,464.511
68,467.343
69,470.414
70,473.235
71,475.976
72,478.601
73,481.811
74,483.932
75,485.424
76,490.320
77,493.197
78,497.549
79,500.666
80,503.798
81,506.460
82,510.738
83,516.002
84,521.415
85,526.375
86,531.595
87,535.347
88,541.106
89,547.516
90,554.677
91,562.442
92,570.132
93,580.656
94,593.474
95,605.115
96,615.904
97,633.807
98,657.160
99,698.574
