Percentage served,Time in ms
0,223.724
1,617.140
2,1027.087
3,1454.422
4,1760.912
5,1828.805
6,1845.299
7,1854.810
8,1863.134
9,1869.831
10,1875.454
11,1880.485
12,1884.495
13,1887.824
14,1890.679
15,1893.999
16,1897.731
17,1900.046
18,1902.810
19,1905.158
20,1907.786
21,1910.075
22,1912.284
23,1914.440
24,1916.723
25,1919.016
26,1921.127
27,1923.314
28,1925.624
29,1927.647
30,1929.196
31,1931.261
32,1932.693
33,1934.475
34,1935.950
35,1937.723
36,1939.428
37,1940.855
38,1942.482
39,1944.180
40,1945.856
41,1947.783
42,1949.218
43,1950.882
44,1952.516
45,1954.086
46,1955.642
47,1957.122
48,1958.454
49,1959.948
50,1961.514
51,1962.927
52,1964.338
53,1966.146
54,1967.655
55,1968.934
56,1970.192
57,1971.679
58,1973.154
59,1974.607
60,1976.315
61,1977.940
62,1979.068
63,1980.649
64,1982.409
65,1983.981
66,1985.843
67,1987.505
68,1989.408
69,1991.112
70,1993.128
71,1994.872
72,1996.603
73,1998.501
74,2000.544
75,2002.555
76,2004.821
77,2006.978
78,2009.026
79,2011.339
80,2013.582
81,2016.045
82,2018.940
83,2022.143
84,2025.976
85,2029.762
86,2033.516
87,2037.781
88,2042.665
89,2047.848
90,2052.991
91,2060.304
92,2068.020
93,2079.102
94,2092.031
95,2108.508
96,2125.933
97,2151.066
98,2188.876
99,2252.072
