Percentage served,Time in ms
0,1109.473
1,1636.989
2,1678.968
3,1705.008
4,1728.208
5,1750.291
6,1771.142
7,1787.352
8,1798.888
9,1806.166
10,1816.043
11,1823.853
12,1831.290
13,1839.060
14,1848.306
15,1857.008
16,1864.103
17,1870.928
18,1881.552
19,1889.403
20,1895.662
21,1905.168
22,1913.965
23,1920.510
24,1926.852
25,1932.883
26,1941.435
27,1948.907
28,1958.872
29,1966.615
30,1973.575
31,1981.131
32,1988.240
33,1995.328
34,2000.935
35,2006.072
36,2012.308
37,2020.926
38,2030.024
39,2037.291
40,2044.757
41,2051.571
42,2058.591
43,2066.615
44,2071.969
45,2077.661
46,2082.637
47,2087.296
48,2092.315
49,2096.782
50,2102.373
51,2105.965
52,2110.141
53,2114.334
54,2118.422
55,2122.631
56,2126.736
57,2130.657
58,2134.549
59,2139.607
60,2144.100
61,2150.417
62,2157.445
63,2167.011
64,2174.027
65,2180.766
66,2187.008
67,2193.884
68,2200.454
69,2208.169
70,2214.983
71,2220.837
72,2225.665
73,2230.421
74,2235.872
75,2241.811
76,2247.296
77,2252.235
78,2256.108
79,2261.357
80,2267.649
81,2273.057
82,2279.737
83,2287.575
84,2296.983
85,2306.122
86,2315.943
87,2326.682
88,2335.764
89,2355.396
90,2383.193
91,2398.315
92,2415.030
93,2447.743
94,2485.117
95,2516.267
96,2555.248
97,2571.103
98,2746.680
99,3008.915
