Percentage served,Time in ms
0,754.126
1,776.395
2,787.446
3,798.551
4,809.218
5,821.756
6,829.385
7,836.617
8,843.096
9,850.078
10,859.935
11,864.957
12,870.883
13,879.805
14,887.944
15,894.677
16,904.949
17,912.702
18,922.231
19,931.602
20,939.486
21,945.098
22,950.546
23,954.853
24,958.936
25,964.670
26,968.799
27,974.141
28,980.070
29,985.555
30,988.305
31,991.241
32,995.623
33,999.768
34,1004.108
35,1009.090
36,1014.313
37,1019.279
38,1024.515
39,1030.779
40,1035.834
41,1040.609
42,1045.186
43,1049.750
44,1054.475
45,1058.962
46,1061.642
47,1064.013
48,1068.213
49,1073.808
50,1079.824
51,1084.722
52,1087.963
53,1091.057
54,1093.497
55,1096.451
56,1099.262
57,1102.377
58,1105.841
59,1109.515
60,1113.056
61,1116.241
62,1122.236
63,1127.371
64,1131.965
65,1134.357
66,1136.655
67,1138.908
68,1140.906
69,1142.892
70,1144.979
71,1146.254
72,1148.251
73,1150.207
74,1152.414
75,1154.033
76,1155.693
77,1157.514
78,1159.708
79,1163.771
80,1171.679
81,1176.485
82,1183.012
83,1188.524
84,1191.221
85,1194.690
86,1199.763
87,1204.154
88,1207.922
89,1212.455
90,1215.509
91,1217.998
92,1221.477
93,1225.465
94,1237.447
95,1299.569
96,1450.839
97,1486.830
98,1513.060
99,2036.793
