Percentage served,Time in ms
0,951.454
1,1682.355
2,1888.710
3,2016.919
4,2068.247
5,2090.357
6,2108.482
7,2133.133
8,2155.564
9,2178.187
10,2197.536
11,2211.307
12,2219.530
13,2229.240
14,2237.742
15,2246.874
16,2254.103
17,2260.442
18,2268.128
19,2276.063
20,2282.030
21,2287.449
22,2292.675
23,2298.647
24,2303.628
25,2309.281
26,2314.894
27,2319.704
28,2325.379
29,2331.245
30,2337.375
31,2344.228
32,2348.206
33,2353.291
34,2359.541
35,2365.667
36,2373.318
37,2382.105
38,2388.583
39,2394.224
40,2400.758
41,2406.694
42,2413.529
43,2419.664
44,2427.559
45,2433.934
46,2438.755
47,2444.137
48,2453.016
49,2459.497
50,2467.357
51,2473.003
52,2478.874
53,2484.341
54,2491.274
55,2497.630
56,2503.950
57,2510.975
58,2517.159
59,2524.204
60,2531.243
61,2538.572
62,2548.293
63,2556.409
64,2565.178
65,2573.956
66,2581.620
67,2591.009
68,2600.917
69,2610.009
70,2615.714
71,2623.800
72,2633.890
73,2641.626
74,2649.548
75,2658.175
76,2666.277
77,2673.320
78,2683.058
79,2694.698
80,2708.995
81,2719.389
82,2731.020
83,2745.708
84,2758.079
85,2771.865
86,2784.797
87,2800.244
88,2818.599
89,2873.955
90,2903.159
91,2919.796
92,2939.708
93,2954.440
94,2990.848
95,3027.615
96,3133.177
97,3268.311
98,3698.634
99,3988.911
