Percentage served,Time in ms
0,35.328
1,82.005
2,131.265
3,183.243
4,218.512
5,221.839
6,222.730
7,223.303
8,223.624
9,223.995
10,224.161
11,224.514
12,224.722
13,224.949
14,225.076
15,225.353
16,225.547
17,225.694
18,225.837
19,225.993
20,226.154
21,226.341
22,226.535
23,226.745
24,226.880
25,227.008
26,227.136
27,227.250
28,227.372
29,227.474
30,227.546
31,227.632
32,227.738
33,227.800
34,227.873
35,227.947
36,228.018
37,228.088
38,228.155
39,228.253
40,228.309
41,228.384
42,228.485
43,228.562
44,228.642
45,228.730
46,228.834
47,228.916
48,229.017
49,229.090
50,229.197
51,229.273
52,229.346
53,229.427
54,229.534
55,229.638
56,229.738
57,229.849
58,229.962
59,230.105
60,230.236
61,230.389
62,230.582
63,230.859
64,230.983
65,231.177
66,231.384
67,231.552
68,231.654
69,231.799
70,232.001
71,232.117
72,232.245
73,232.387
74,232.525
75,232.707
76,232.876
77,233.091
78,233.219
79,233.409
80,233.646
81,233.982
82,234.278
83,234.556
84,234.936
85,235.379
86,235.835
87,236.336
88,237.264
89,238.313
90,239.121
91,240.354
92,241.681
93,243.155
94,244.566
95,245.972
96,247.347
97,248.322
98,249.873
99,252.941
