Percentage served,Time in ms
0,187.628
1,509.657
2,608.595
3,765.812
4,985.125
5,1046.121
6,1095.273
7,1145.320
8,1152.613
9,1153.463
10,1153.988
11,1154.400
12,1154.742
13,1155.045
14,1155.259
15,1155.496
16,1155.717
17,1155.916
18,1156.092
19,1156.263
20,1156.435
21,1156.617
22,1156.779
23,1156.909
24,1157.017
25,1157.135
26,1157.269
27,1157.399
28,1157.527
29,1157.686
30,1157.791
31,1157.913
32,1158.046
33,1158.162
34,1158.265
35,1158.391
36,1158.497
37,1158.627
38,1158.737
39,1158.844
40,1158.954
41,1159.052
42,1159.154
43,1159.264
44,1159.385
45,1159.501
46,1159.635
47,1159.736
48,1159.858
49,1160.007
50,1160.151
51,1160.288
52,1160.452
53,1160.612
54,1160.720
55,1160.851
56,1160.987
57,1161.140
58,1161.276
59,1161.436
60,1161.600
61,1161.767
62,1161.928
63,1162.112
64,1162.268
65,1162.464
66,1162.706
67,1162.919
68,1163.156
69,1163.414
70,1163.654
71,1163.877
72,1164.101
73,1164.345
74,1164.685
75,1164.958
76,1165.227
77,1165.496
78,1165.757
79,1166.104
80,1166.395
81,1166.727
82,1167.077
83,1167.449
84,1167.732
85,1168.084
86,1168.487
87,1168.919
88,1169.259
89,1169.632
90,1170.047
91,1170.466
92,1171.011
93,1171.503
94,1172.022
95,1172.826
96,1173.823
97,1175.634
98,1179.533
99,1184.900
