Percentage served,Time in ms
0,855.354
1,1188.133
2,1195.886
3,1197.557
4,1198.732
5,1199.576
6,1200.161
7,1200.638
8,1200.998
9,1201.332
10,1201.619
11,1201.878
12,1202.169
13,1202.398
14,1202.659
15,1202.865
16,1203.048
17,1203.239
18,1203.437
19,1203.597
20,1203.791
21,1203.974
22,1204.134
23,1204.294
24,1204.446
25,1204.620
26,1204.795
27,1204.953
28,1205.128
29,1205.264
30,1205.449
31,1205.608
32,1205.783
33,1205.954
34,1206.134
35,1206.317
36,1206.500
37,1206.668
38,1206.848
39,1207.043
40,1207.260
41,1207.468
42,1207.712
43,1207.931
44,1208.156
45,1208.381
46,1208.632
47,1208.928
48,1209.239
49,1209.550
50,1209.945
51,1210.338
52,1210.887
53,1211.595
54,1212.678
55,1213.872
56,1214.912
57,1216.155
58,1217.371
59,1218.205
60,1218.970
61,1219.864
62,1220.924
63,1221.828
64,1222.800
65,1223.739
66,1224.902
67,1226.147
68,1228.041
69,1247.948
70,1283.891
71,1399.859
72,1407.213
73,1411.241
74,1422.879
75,1531.264
76,1618.642
77,1722.868
78,2032.880
79,2195.428
80,2200.386
81,2202.024
82,2203.420
83,2204.581
84,2206.083
85,2207.790
86,2210.333
87,2216.989
88,2225.191
89,2406.274
90,2413.931
91,2613.668
92,2822.029
93,3328.143
94,4206.853
95,4212.328
96,4405.509
97,4622.242
98,8212.838
99,8625.766
