Percentage served,Time in ms
0,276.483
1,409.751
2,532.574
3,610.377
4,674.942
5,778.198
6,901.884
7,1083.737
8,1116.731
9,1126.557
10,1136.871
11,1139.947
12,1141.218
13,1142.079
14,1142.620
15,1142.988
16,1143.287
17,1143.605
18,1143.907
19,1144.163
20,1144.372
21,1144.557
22,1144.761
23,1144.957
24,1145.124
25,1145.304
26,1145.472
27,1145.638
28,1145.821
29,1145.988
30,1146.146
31,1146.327
32,1146.462
33,1146.617
34,1146.731
35,1146.864
36,1146.983
37,1147.120
38,1147.218
39,1147.339
40,1147.446
41,1147.569
42,1147.666
43,1147.788
44,1147.906
45,1148.015
46,1148.155
47,1148.284
48,1148.413
49,1148.537
50,1148.680
51,1148.833
52,1148.968
53,1149.095
54,1149.222
55,1149.371
56,1149.511
57,1149.662
58,1149.835
59,1150.004
60,1150.163
61,1150.298
62,1150.444
63,1150.583
64,1150.735
65,1150.874
66,1151.034
67,1151.193
68,1151.366
69,1151.523
70,1151.684
71,1151.854
72,1152.033
73,1152.240
74,1152.461
75,1152.662
76,1152.927
77,1153.185
78,1153.452
79,1153.732
80,1154.078
81,1154.431
82,1154.742
83,1155.151
84,1155.597
85,1156.082
86,1156.800
87,1157.455
88,1158.368
89,1159.298
90,1161.365
91,1186.020
92,1226.064
93,1228.741
94,1230.037
95,1232.015
96,1233.991
97,1539.168
98,1557.535
99,1582.636
