Percentage served,Time in ms
0,416.931
1,531.213
2,556.488
3,674.298
4,869.414
5,944.001
6,998.284
7,1060.140
8,1147.837
9,1151.369
10,1153.131
11,1154.322
12,1155.029
13,1155.700
14,1156.155
15,1156.553
16,1156.893
17,1157.142
18,1157.394
19,1157.610
20,1157.842
21,1157.981
22,1158.189
23,1158.369
24,1158.504
25,1158.658
26,1158.779
27,1158.923
28,1159.097
29,1159.243
30,1159.373
31,1159.535
32,1159.685
33,1159.825
34,1159.989
35,1160.132
36,1160.262
37,1160.411
38,1160.555
39,1160.696
40,1160.833
41,1160.984
42,1161.089
43,1161.228
44,1161.357
45,1161.486
46,1161.605
47,1161.737
48,1161.876
49,1161.984
50,1162.125
51,1162.252
52,1162.377
53,1162.519
54,1162.664
55,1162.839
56,1162.978
57,1163.134
58,1163.284
59,1163.462
60,1163.628
61,1163.841
62,1164.115
63,1164.300
64,1164.529
65,1164.758
66,1165.018
67,1165.297
68,1165.531
69,1165.826
70,1166.199
71,1166.595
72,1166.946
73,1167.391
74,1167.867
75,1168.298
76,1168.697
77,1169.108
78,1169.473
79,1169.842
80,1170.164
81,1170.476
82,1170.787
83,1171.142
84,1171.445
85,1171.811
86,1172.236
87,1172.648
88,1173.089
89,1173.605
90,1174.107
91,1174.627
92,1175.233
93,1175.791
94,1176.497
95,1177.380
96,1179.054
97,1299.993
98,1318.402
99,1350.287
